Team,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
Michigan St,36,1.2647058823529411,5,9,8,2,6,1,3,0
Michigan,34,0.8064516129032258,5,10,3,3,6,1,3,0
Mid Tenn,103,0.41935483870967744,0,5,2,2,6,3,13,0
Milwaukee,333,-2.096774193548387,0,2,0,0,1,7,8,13
Minnesota,108,0.0,2,10,0,6,6,1,5,0
Miss St,57,0.5151515151515151,2,11,3,2,8,2,5,0
Miss Valley St,355,-3.0,0,3,0,2,0,4,2,16
Mississippi,109,-0.1875,1,11,5,2,2,5,5,1
UMKC,206,-0.48148148148148145,0,2,0,2,5,5,10,3
Missouri St,68,0.45161290322580644,1,2,3,3,8,4,9,1
Missouri,149,-0.25,3,13,1,5,3,2,4,1
Monmouth,144,-0.11764705882352941,1,1,1,2,8,7,11,3
Montana St,120,0.34375,0,2,0,0,5,3,20,2
Montana,254,-0.8620689655172413,0,2,0,2,2,4,13,6
Morehead St,112,0.1,0,8,1,0,1,1,17,2
Morgan St,299,-1.4782608695652173,0,1,0,3,1,3,8,7
Mount St. Mary's,250,-1.206896551724138,0,3,0,2,0,3,13,8
Murray St,21,1.3928571428571428,2,1,3,0,5,1,16,0
Navy,173,-0.16129032258064516,0,1,2,4,2,2,16,4
Omaha,346,-2.413793103448276,0,4,0,3,0,8,4,10
