Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
224,Rider,MAAC,14-19,-4.4,99.2,103.6,66.9,-0.01,-2.73,101,103.7,-4.83
225,Cal Baptist,WAC,18-16,-4.41,98.8,103.2,67.4,-0.008,-5.02,99.7,104.7,-9.44
226,George Washington,A10,44913,-4.46,99.3,103.8,68.9,+.043,+0.45,103,102.5,-3.98
227,James Madison,CAA,15-14,-4.66,102.6,107.3,68.8,+.076,-0.97,102.8,103.8,-0.08
228,Harvard,Ivy,13-13,-4.68,97.8,102.4,67.2,-0.045,-4.11,101.2,105.3,-4.77
229,La Salle,A10,44884,-4.68,98.9,103.6,67.2,-0.005,+0.14,103,102.9,-10.37
230,Indiana St.,MVC,44885,-4.78,98.3,103,69.2,-0.066,+2.52,104.5,102,-0.13
231,Quinnipiac,MAAC,14-17,-4.96,102.9,107.9,68.8,-0.029,-3.77,99.7,103.5,-10.82
232,San Diego,WCC,15-16,-5.01,96.3,101.3,65.6,+.090,+0.96,103.2,102.3,-3.22
233,Oregon St.,P12,44648,-5.36,105.4,110.8,66.6,-0.108,+8.12,106.5,98.3,+1.69
234,Howard,MEAC,16-13,-5.45,100.3,105.7,70.4,-0.058,-8.66,96.1,104.7,-2.37
235,LIU,NEC,16-14,-5.51,99.7,105.2,72.4,+.033,-6.86,98.8,105.7,+7.68
236,Detroit Mercy,Horz,14-16,-5.57,105.6,111.2,64.9,-0.019,-4.37,100.9,105.3,+3.93
237,Purdue Fort Wayne,Horz,21-12,-5.67,98.6,104.3,68.4,+.077,-8.26,99.8,108.1,-7.49
238,Marshall,CUSA,44916,-5.74,101.2,106.9,72.3,-0.017,-0.07,103.1,103.2,-0.77
239,Siena,MAAC,15-14,-5.77,98.1,103.9,66.3,+.111,-3.03,101,104,-4.61
240,UMBC,AE,18-14,-6.01,103.8,109.8,68.3,+.044,-7.19,99.8,107,-2.66
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
